period,revenue,cost_of_goods_sold,gross_profit,operating_expenses,operating_income,net_income,total_assets,current_assets,current_liabilities,inventory,total_debt,shareholders_equity
2022-Q1,1000000,600000,400000,200000,200000,150000,5000000,1200000,800000,300000,2000000,3000000
2022-Q2,1050000,630000,420000,210000,210000,157500,5100000,1250000,820000,310000,2050000,3050000
2022-Q3,1120000,672000,448000,224000,224000,168000,5200000,1300000,840000,320000,2100000,3100000
2022-Q4,1200000,720000,480000,240000,240000,180000,5300000,1350000,860000,330000,2150000,3150000
2023-Q1,1260000,756000,504000,252000,252000,189000,5400000,1400000,880000,340000,2200000,3200000
2023-Q2,1330000,798000,532000,266000,266000,199500,5500000,1450000,900000,350000,2250000,3250000
2023-Q3,1410000,846000,564000,282000,282000,211500,5600000,1500000,920000,360000,2300000,3300000
2023-Q4,1500000,900000,600000,300000,300000,225000,5700000,1550000,940000,370000,2350000,3350000
2024-Q1,1575000,945000,630000,315000,315000,236250,5800000,1600000,960000,380000,2400000,3400000
2024-Q2,1650000,990000,660000,330000,330000,247500,5900000,1650000,980000,390000,2450000,3450000
2024-Q3,1740000,1044000,696000,348000,348000,261000,6000000,1700000,1000000,400000,2500000,3500000
2024-Q4,1850000,1110000,740000,370000,370000,277500,6100000,1750000,1020000,410000,2550000,3550000
